學校類型,學校代碼,學校名稱,縣市別,學生宿舍床位數_床,自有宿舍床位數_床,教職員宿舍單身床位_床,教職員宿舍有眷戶數_戶,可使用校地-校舍基地_平方公尺,可使用校地-露天運動場地_平方公尺,可使用校地-其他校地_平方公尺,無法使用校地_平方公尺,
國立大學,0001,國立政治大學,臺北市,5623 ,5401 ,63 ,100 ,89646 ,70032 ,914857 ,19192 ,
國立大學,0002,國立清華大學,臺北市,0 ,0 ,0 ,0 ,1176 ,0 ,807 ,0 ,
國立大學,0002,國立清華大學,新竹縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,101134 ,
國立大學,0002,國立清華大學,新竹市,8438 ,8438 ,208 ,301 ,139494 ,48113 ,910900 ,0 ,
國立大學,0003,國立臺灣大學,臺北市,8640 ,8640 ,72 ,644 ,471855 ,33529 ,855228 ,0 ,
國立大學,0004,國立臺灣師範大學,新北市,0 ,0 ,18 ,19 ,25578 ,38552 ,264643 ,0 ,
國立大學,0004,國立臺灣師範大學,臺北市,6456 ,6456 ,12 ,14 ,112097 ,55314 ,56271 ,0 ,
國立大學,0005,國立成功大學,臺南市,6260 ,6260 ,110 ,125 ,238668 ,45345 ,1571735 ,0 ,
國立大學,0006,國立中興大學,臺中市,4890 ,4890 ,106 ,131 ,100470 ,30909 ,400146 ,0 ,
國立大學,0006,國立中興大學,南投縣,17 ,17 ,0 ,21 ,17057 ,0 ,96979 ,0 ,
國立大學,0007,國立陽明交通大學,臺北市,2018 ,2018 ,29 ,122 ,43405 ,28740 ,167625 ,262193 ,
國立大學,0007,國立陽明交通大學,桃園市,0 ,0 ,0 ,0 ,0 ,0 ,26824 ,0 ,
國立大學,0007,國立陽明交通大學,臺南市,300 ,300 ,0 ,0 ,13221 ,550 ,163252 ,0 ,
國立大學,0007,國立陽明交通大學,新竹縣,0 ,0 ,0 ,0 ,3504 ,0 ,21497 ,0 ,
國立大學,0007,國立陽明交通大學,新竹市,8278 ,8278 ,159 ,125 ,108772 ,97928 ,563216 ,0 ,
國立大學,0008,國立中央大學,臺北市,0 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,
國立大學,0008,國立中央大學,桃園市,5797 ,5797 ,107 ,229 ,108790 ,22143 ,530935 ,0 ,
國立大學,0008,國立中央大學,宜蘭縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,南投縣,0 ,0 ,0 ,0 ,195 ,0 ,735 ,0 ,
國立大學,0008,國立中央大學,嘉義縣,0 ,0 ,0 ,0 ,134 ,0 ,868 ,0 ,
國立大學,0008,國立中央大學,屏東縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,臺東縣,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0008,國立中央大學,嘉義市,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,
國立大學,0009,國立中山大學,高雄市,4150 ,4150 ,57 ,91 ,64530 ,70000 ,154939 ,444628 ,
國立大學,0012,國立臺灣海洋大學,基隆市,2885 ,2885 ,20 ,21 ,54482 ,15383 ,175071 ,86422 ,
國立大學,0012,國立臺灣海洋大學,連江縣,94 ,94 ,15 ,0 ,1027 ,192 ,5835 ,0 ,
國立大學,0013,國立中正大學,臺北市,0 ,0 ,0 ,0 ,33 ,0 ,0 ,0 ,
國立大學,0013,國立中正大學,嘉義縣,3735 ,3735 ,116 ,221 ,121975 ,12738 ,1171134 ,0 ,
國立大學,0013,國立中正大學,嘉義市,0 ,0 ,0 ,0 ,618 ,0 ,682 ,0 ,
國立大學,0014,國立高雄師範大學,高雄市,3530 ,3530 ,24 ,9 ,63738 ,33826 ,549106 ,0 ,
國立大學,0015,國立彰化師範大學,臺中市,0 ,0 ,0 ,6 ,288 ,0 ,229 ,0 ,
國立大學,0015,國立彰化師範大學,彰化縣,3300 ,3300 ,70 ,54 ,51460 ,37037 ,427757 ,0 ,
國立大學,0017,國立臺北大學,新北市,1527 ,1527 ,0 ,0 ,45712 ,23158 ,476445 ,0 ,
國立大學,0017,國立臺北大學,臺北市,1050 ,1050 ,0 ,3 ,12898 ,4074 ,28572 ,0 ,
國立大學,0018,國立嘉義大學,嘉義縣,1283 ,1283 ,28 ,0 ,25169 ,22067 ,1323351 ,0 ,
國立大學,0018,國立嘉義大學,嘉義市,2561 ,2561 ,46 ,0 ,87267 ,58007 ,970814 ,448755 ,
國立大學,0019,國立高雄大學,高雄市,1616 ,1616 ,16 ,46 ,67280 ,51356 ,706561 ,0 ,
國立大學,0020,國立東華大學,臺北市,0 ,0 ,0 ,0 ,107 ,0 ,0 ,0 ,
國立大學,0020,國立東華大學,花蓮縣,6232 ,6232 ,39 ,146 ,410308 ,77725 ,1981518 ,0 ,
國立大學,0021,國立暨南國際大學,南投縣,2840 ,2840 ,129 ,69 ,61970 ,53400 ,1369226 ,0 ,
國立大學,0022,國立臺灣科技大學,新北市,0 ,0 ,0 ,0 ,227 ,0 ,56466 ,0 ,
國立大學,0022,國立臺灣科技大學,臺北市,4071 ,3901 ,0 ,70 ,33394 ,14261 ,50273 ,19388 ,
國立大學,0022,國立臺灣科技大學,新竹縣,0 ,0 ,0 ,0 ,919 ,0 ,69487 ,0 ,
國立大學,0022,國立臺灣科技大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,99045 ,0 ,
國立大學,0023,國立雲林科技大學,雲林縣,2718 ,2338 ,49 ,81 ,83576 ,58002 ,439663 ,0 ,
國立大學,0024,國立屏東科技大學,臺北市,0 ,0 ,0 ,1 ,51 ,0 ,0 ,0 ,
國立大學,0024,國立屏東科技大學,屏東縣,3287 ,3207 ,12 ,0 ,147435 ,48219 ,2466891 ,2997831 ,
國立大學,0024,國立屏東科技大學,臺東縣,36 ,0 ,0 ,0 ,181 ,0 ,0 ,5760441 ,
國立大學,0025,國立臺北科技大學,新北市,200 ,0 ,0 ,0 ,0 ,0 ,51250 ,1480219 ,
國立大學,0025,國立臺北科技大學,臺北市,1902 ,1581 ,0 ,0 ,31236 ,11744 ,53557 ,0 ,
國立大學,0025,國立臺北科技大學,桃園市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1767 ,
國立大學,0025,國立臺北科技大學,基隆市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,311839 ,
國立大學,0028,國立臺北藝術大學,臺北市,1481 ,1481 ,0 ,0 ,43564 ,15136 ,212191 ,99964 ,
國立大學,0029,國立臺灣藝術大學,新北市,840 ,840 ,0 ,0 ,22262 ,10350 ,48906 ,39095 ,
國立大學,0030,國立臺東大學,臺東縣,2267 ,2267 ,31 ,7 ,68541 ,37100 ,547422 ,60239 ,
國立大學,0031,國立宜蘭大學,宜蘭縣,1524 ,1524 ,63 ,1 ,40877 ,18515 ,513220 ,0 ,
國立大學,0032,國立聯合大學,苗栗縣,2802 ,2802 ,132 ,0 ,46328 ,21766 ,697159 ,0 ,
國立大學,0033,國立虎尾科技大學,雲林縣,2769 ,2769 ,90 ,0 ,57019 ,37290 ,278436 ,0 ,
國立大學,0035,國立臺南藝術大學,臺南市,1316 ,1316 ,43 ,41 ,35337 ,10144 ,279976 ,250000 ,
國立大學,0036,國立臺南大學,臺南市,1528 ,1528 ,0 ,12 ,29577 ,18515 ,69810 ,0 ,
國立大學,0037,國立臺北教育大學,臺北市,1385 ,1385 ,0 ,13 ,22893 ,12666 ,42036 ,411 ,
國立大學,0039,國立臺中教育大學,臺中市,1800 ,1800 ,0 ,4 ,29821 ,16083 ,54518 ,0 ,
國立大學,0042,國立澎湖科技大學,澎湖縣,741 ,741 ,20 ,29 ,21699 ,16552 ,420144 ,0 ,
國立大學,0043,國立勤益科技大學,臺中市,1007 ,1007 ,0 ,0 ,37708 ,30653 ,233344 ,26201 ,
國立大學,0044,國立體育大學,桃園市,1216 ,1216 ,38 ,12 ,72979 ,92107 ,465428 ,11922 ,
國立大學,0046,國立臺北護理健康大學,臺北市,1769 ,1769 ,3 ,27 ,24095 ,15399 ,43334 ,0 ,
國立大學,0047,國立高雄餐旅大學,高雄市,1358 ,1358 ,0 ,0 ,18825 ,8578 ,122641 ,0 ,
國立大學,0048,國立金門大學,金門縣,1167 ,1088 ,88 ,2 ,21870 ,7500 ,172799 ,0 ,
國立大學,0049,國立臺灣體育運動大學,臺中市,747 ,747 ,5 ,2 ,31104 ,86711 ,24925 ,0 ,
國立大學,0050,國立臺中科技大學,臺中市,1416 ,1416 ,5 ,2 ,22552 ,11928 ,112393 ,0 ,
國立大學,0051,國立臺北商業大學,新北市,466 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
國立大學,0051,國立臺北商業大學,臺北市,0 ,0 ,0 ,0 ,7839 ,1488 ,10628 ,0 ,
國立大學,0051,國立臺北商業大學,桃園市,592 ,580 ,0 ,0 ,7053 ,7874 ,58374 ,3924 ,
國立大學,0052,國立屏東大學,屏東縣,4448 ,4448 ,21 ,1 ,57224 ,56568 ,310121 ,89423 ,
國立大學,0053,國立高雄科技大學,高雄市,5511 ,5511 ,80 ,39 ,164560 ,96433 ,979048 ,920575 ,
國立學院,0144,國立臺灣戲曲學院,臺北市,1101 ,315 ,0 ,0 ,15556 ,2271 ,31951 ,2152 ,
國立專科,0221,國立臺南護理專科學校,臺南市,540 ,540 ,0 ,1 ,7252 ,726 ,22022 ,0 ,
國立專科,0222,國立臺東專科學校,臺東縣,786 ,568 ,10 ,0 ,33498 ,92346 ,130244 ,0 ,
私立大學,1001,東海大學,臺中市,5191 ,5191 ,68 ,409 ,110260 ,72377 ,1156449 ,0 ,
私立大學,1002,輔仁大學,新北市,4567 ,4567 ,63 ,0 ,76393 ,45120 ,226848 ,0 ,
私立大學,1003,東吳大學,臺北市,2017 ,1104 ,15 ,46 ,24654 ,16155 ,73615 ,43730 ,
私立大學,1004,中原大學,桃園市,4955 ,4955 ,36 ,30 ,60892 ,49725 ,238718 ,0 ,
私立大學,1005,淡江大學,新北市,3267 ,2286 ,29 ,6 ,35072 ,25809 ,156245 ,0 ,
私立大學,1005,淡江大學,臺北市,0 ,0 ,0 ,2 ,3249 ,0 ,0 ,0 ,
私立大學,1005,淡江大學,宜蘭縣,825 ,825 ,48 ,5 ,10402 ,19392 ,374759 ,0 ,
私立大學,1006,中國文化大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,918310 ,0 ,
私立大學,1006,中國文化大學,臺北市,4254 ,4254 ,67 ,56 ,112595 ,4376 ,115992 ,0 ,
私立大學,1007,逢甲大學,臺中市,3353 ,3353 ,0 ,1 ,47849 ,35496 ,178610 ,0 ,
私立大學,1008,靜宜大學,臺中市,2938 ,2542 ,43 ,1 ,43548 ,50000 ,209795 ,0 ,
私立大學,1009,長庚大學,桃園市,6154 ,6154 ,248 ,0 ,61751 ,42229 ,267329 ,0 ,
私立大學,1010,元智大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,25194 ,0 ,
私立大學,1010,元智大學,桃園市,2887 ,2887 ,33 ,61 ,37797 ,24110 ,122332 ,0 ,
私立大學,1011,中華大學,新竹市,2474 ,2474 ,0 ,0 ,28774 ,40800 ,119966 ,0 ,
私立大學,1012,大葉大學,彰化縣,2530 ,2530 ,16 ,0 ,29705 ,27334 ,285060 ,0 ,
私立大學,1013,華梵大學,新北市,928 ,928 ,0 ,0 ,126506 ,10525 ,163265 ,6464 ,
私立大學,1014,義守大學,高雄市,6808 ,3773 ,72 ,28 ,57928 ,42081 ,189063 ,0 ,
私立大學,1015,世新大學,新北市,552 ,396 ,0 ,2 ,4235 ,0 ,196499 ,0 ,
私立大學,1015,世新大學,臺北市,485 ,430 ,0 ,11 ,14426 ,8948 ,54252 ,0 ,
私立大學,1016,銘傳大學,新北市,945 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
私立大學,1016,銘傳大學,臺北市,828 ,828 ,0 ,0 ,14083 ,8262 ,19970 ,0 ,
私立大學,1016,銘傳大學,桃園市,2523 ,1550 ,13 ,0 ,19036 ,15062 ,154366 ,0 ,
私立大學,1016,銘傳大學,金門縣,123 ,123 ,32 ,0 ,3843 ,0 ,146157 ,150000 ,
私立大學,1017,實踐大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,340171 ,
私立大學,1017,實踐大學,臺北市,1099 ,965 ,0 ,0 ,16064 ,2000 ,28952 ,8667 ,
私立大學,1017,實踐大學,高雄市,1845 ,1845 ,0 ,12 ,18146 ,30913 ,378584 ,0 ,
私立大學,1018,朝陽科技大學,臺中市,1778 ,792 ,0 ,0 ,160230 ,23854 ,479103 ,0 ,
私立大學,1019,高雄醫學大學,高雄市,1177 ,1070 ,0 ,0 ,34239 ,17699 ,55356 ,0 ,
私立大學,1019,高雄醫學大學,屏東縣,0 ,0 ,0 ,0 ,0 ,0 ,17711 ,0 ,
私立大學,1020,南華大學,嘉義縣,3365 ,2823 ,310 ,10 ,34011 ,55597 ,542207 ,0 ,
私立大學,1021,真理大學,新北市,1078 ,1078 ,3 ,0 ,18277 ,36913 ,36276 ,0 ,
私立大學,1021,真理大學,臺南市,0 ,0 ,42 ,4 ,19262 ,17643 ,183288 ,0 ,
私立大學,1021,真理大學,高雄市,0 ,0 ,0 ,0 ,37 ,0 ,0 ,0 ,
私立大學,1022,大同大學,臺北市,998 ,998 ,0 ,0 ,8254 ,14240 ,35401 ,0 ,
私立大學,1023,南臺科技大學,臺南市,3616 ,3616 ,0 ,0 ,46250 ,21830 ,96518 ,0 ,
私立大學,1024,崑山科技大學,臺南市,2137 ,2137 ,12 ,0 ,31905 ,47686 ,83210 ,1058 ,
私立大學,1025,嘉南藥理大學,臺南市,4992 ,4992 ,0 ,0 ,55549 ,32190 ,158107 ,0 ,
私立大學,1026,樹德科技大學,高雄市,3122 ,3122 ,44 ,0 ,30801 ,34320 ,309422 ,3172 ,
私立大學,1027,慈濟大學,花蓮縣,3346 ,3346 ,44 ,62 ,86708 ,60258 ,319647 ,0 ,
私立大學,1028,臺北醫學大學,臺北市,931 ,840 ,0 ,0 ,26666 ,12381 ,32475 ,2290 ,
私立大學,1029,中山醫學大學,臺中市,1579 ,1579 ,18 ,0 ,28607 ,21678 ,45673 ,37 ,
私立大學,1029,中山醫學大學,苗栗縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,418028 ,
私立大學,1030,龍華科技大學,桃園市,1452 ,1317 ,0 ,0 ,18372 ,4145 ,48338 ,0 ,
私立大學,1031,輔英科技大學,高雄市,2452 ,2452 ,21 ,7 ,29064 ,42759 ,99088 ,1917 ,
私立大學,1032,明新科技大學,新竹縣,2171 ,2165 ,103 ,0 ,42195 ,45270 ,145342 ,0 ,
私立大學,1033,長榮大學,臺南市,2903 ,2903 ,70 ,0 ,31578 ,37046 ,205091 ,0 ,
私立大學,1034,弘光科技大學,臺中市,1114 ,1008 ,0 ,0 ,22573 ,18942 ,57704 ,0 ,
私立大學,1035,中國醫藥大學,臺中市,1037 ,1037 ,0 ,0 ,13774 ,4971 ,33480 ,140406 ,
私立大學,1035,中國醫藥大學,雲林縣,676 ,676 ,0 ,0 ,3043 ,2160 ,13520 ,0 ,
私立大學,1036,健行科技大學,桃園市,1520 ,1490 ,3 ,0 ,17431 ,7180 ,24136 ,0 ,
私立大學,1037,正修科技大學,高雄市,1705 ,955 ,0 ,0 ,40060 ,9026 ,39941 ,0 ,
私立大學,1038,萬能科技大學,桃園市,2221 ,1900 ,0 ,0 ,16285 ,21300 ,29695 ,23480 ,
私立大學,1039,玄奘大學,新竹市,1254 ,1254 ,31 ,0 ,20409 ,17970 ,126942 ,0 ,
私立大學,1040,建國科技大學,彰化縣,554 ,554 ,0 ,0 ,18276 ,14608 ,66147 ,0 ,
私立大學,1041,明志科技大學,新北市,2819 ,2819 ,68 ,140 ,22479 ,38210 ,558342 ,0 ,
私立大學,1042,高苑科技大學,高雄市,1542 ,1542 ,0 ,0 ,27610 ,28338 ,53969 ,0 ,
私立大學,1043,大仁科技大學,屏東縣,1302 ,1302 ,0 ,0 ,23927 ,31997 ,111145 ,0 ,
私立大學,1044,聖約翰科技大學,新北市,1148 ,1148 ,0 ,1 ,21779 ,23341 ,67273 ,0 ,
私立大學,1045,嶺東科技大學,臺中市,1372 ,1372 ,0 ,0 ,19935 ,38719 ,153363 ,0 ,
私立大學,1046,中國科技大學,臺北市,58 ,58 ,0 ,0 ,10571 ,8674 ,34894 ,0 ,
私立大學,1046,中國科技大學,新竹縣,1274 ,1274 ,51 ,0 ,11590 ,17162 ,112877 ,0 ,
私立大學,1047,中臺科技大學,臺中市,1088 ,1088 ,15 ,10 ,18695 ,10072 ,69121 ,0 ,
私立大學,1048,亞洲大學,臺中市,4395 ,4395 ,0 ,0 ,31904 ,18669 ,216495 ,0 ,
私立大學,1049,開南大學,桃園市,1348 ,1348 ,0 ,0 ,29898 ,85054 ,17429 ,20000 ,
私立大學,1050,佛光大學,宜蘭縣,1963 ,1026 ,79 ,93 ,25792 ,10400 ,218879 ,323177 ,
私立大學,1051,台南應用科技大學,臺南市,1592 ,1300 ,26 ,2 ,33613 ,31621 ,79131 ,0 ,
私立大學,1052,遠東科技大學,臺南市,2017 ,2017 ,0 ,0 ,26064 ,16620 ,77952 ,0 ,
私立大學,1053,元培醫事科技大學,新竹市,801 ,551 ,0 ,0 ,44606 ,14219 ,22503 ,44696 ,
私立大學,1054,景文科技大學,新北市,1132 ,1132 ,0 ,0 ,14494 ,25243 ,76454 ,0 ,
私立大學,1055,中華醫事科技大學,臺南市,2287 ,2248 ,0 ,0 ,20967 ,11325 ,65203 ,0 ,
私立大學,1056,東南科技大學,新北市,1082 ,1082 ,5 ,0 ,14535 ,10446 ,89840 ,0 ,
私立大學,1057,德明財經科技大學,臺北市,570 ,570 ,2 ,0 ,37840 ,11855 ,11137 ,0 ,
私立大學,1058,明道大學,彰化縣,2008 ,812 ,6 ,18 ,22757 ,59316 ,329205 ,0 ,
私立大學,1060,南開科技大學,南投縣,880 ,842 ,0 ,0 ,15162 ,13055 ,63813 ,0 ,
私立大學,1061,中華科技大學,臺北市,442 ,442 ,0 ,0 ,21529 ,5600 ,27018 ,0 ,
私立大學,1061,中華科技大學,新竹縣,355 ,355 ,10 ,0 ,16066 ,4423 ,1000 ,66281 ,
私立大學,1061,中華科技大學,雲林縣,115 ,0 ,6 ,0 ,2935 ,3124 ,284516 ,5453 ,
私立大學,1062,僑光科技大學,臺中市,873 ,865 ,0 ,0 ,14966 ,7959 ,34337 ,0 ,
私立大學,1063,育達科技大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79034 ,
私立大學,1063,育達科技大學,苗栗縣,1148 ,1148 ,61 ,19 ,117573 ,45549 ,21428 ,50596 ,
私立大學,1064,美和科技大學,屏東縣,892 ,874 ,0 ,0 ,15248 ,4951 ,30375 ,0 ,
私立大學,1065,吳鳳科技大學,嘉義縣,1288 ,1288 ,4 ,1 ,25889 ,28320 ,78647 ,0 ,
私立大學,1066,環球科技大學,雲林縣,1028 ,550 ,8 ,16 ,25393 ,34351 ,238719 ,0 ,
私立大學,1067,台灣首府大學,臺南市,767 ,767 ,22 ,0 ,15360 ,10200 ,83702 ,56025 ,
私立大學,1068,中州科技大學,彰化縣,984 ,966 ,0 ,0 ,13917 ,4348 ,42480 ,0 ,
私立大學,1069,修平科技大學,臺中市,1037 ,1037 ,0 ,0 ,17433 ,12372 ,62486 ,0 ,
私立大學,1070,長庚科技大學,桃園市,5136 ,5136 ,124 ,0 ,30826 ,20886 ,87334 ,0 ,
私立大學,1070,長庚科技大學,嘉義縣,2020 ,2020 ,0 ,0 ,21863 ,12415 ,121938 ,0 ,
私立大學,1071,臺北城市科技大學,臺北市,1600 ,1600 ,0 ,0 ,27035 ,9689 ,50260 ,0 ,
私立大學,1072,敏實科技大學,新竹縣,1167 ,352 ,0 ,0 ,18451 ,7113 ,65405 ,39557 ,
私立大學,1073,醒吾科技大學,新北市,1389 ,991 ,0 ,0 ,15195 ,8439 ,32128 ,0 ,
私立大學,1075,文藻外語大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,80 ,0 ,
私立大學,1075,文藻外語大學,臺北市,0 ,0 ,0 ,0 ,139 ,0 ,0 ,0 ,
私立大學,1075,文藻外語大學,高雄市,868 ,868 ,34 ,4 ,16201 ,28240 ,12435 ,0 ,
私立大學,1076,華夏科技大學,新北市,468 ,0 ,32 ,1 ,10634 ,1457 ,47555 ,0 ,
私立大學,1077,慈濟科技大學,花蓮縣,2384 ,2384 ,45 ,11 ,17659 ,16992 ,175398 ,0 ,
私立大學,1078,致理科技大學,新北市,658 ,594 ,0 ,0 ,9785 ,30266 ,20206 ,0 ,
私立大學,1079,康寧大學,臺北市,804 ,804 ,0 ,0 ,7448 ,2979 ,39773 ,23401 ,
私立大學,1079,康寧大學,臺南市,1958 ,1958 ,116 ,0 ,13562 ,52162 ,125963 ,0 ,
私立大學,1080,宏國德霖科技大學,新北市,430 ,430 ,0 ,0 ,19089 ,13206 ,90149 ,3216 ,
私立大學,1081,東方設計大學,高雄市,595 ,595 ,0 ,0 ,15342 ,22582 ,52220 ,0 ,
私立大學,1082,崇右影藝科技大學,新北市,0 ,0 ,0 ,0 ,0 ,0 ,786 ,260814 ,
私立大學,1082,崇右影藝科技大學,基隆市,432 ,194 ,0 ,0 ,37095 ,12100 ,849 ,0 ,
私立大學,1083,台北海洋科技大學,新北市,788 ,788 ,0 ,0 ,10483 ,1296 ,29292 ,0 ,
私立大學,1083,台北海洋科技大學,臺北市,417 ,415 ,0 ,0 ,8775 ,6608 ,18881 ,0 ,
私立大學,1084,亞東科技大學,新北市,218 ,177 ,4 ,4 ,9956 ,6409 ,43918 ,5638 ,
私立學院,1125,中信金融管理學院,臺南市,703 ,703 ,49 ,0 ,13624 ,75000 ,166307 ,10326 ,
私立學院,1148,大漢技術學院,花蓮縣,1427 ,1427 ,12 ,0 ,20644 ,73443 ,94965 ,0 ,
私立學院,1159,和春技術學院,高雄市,928 ,928 ,10 ,0 ,33297 ,19674 ,59526 ,0 ,
私立學院,1168,南亞技術學院,桃園市,553 ,545 ,0 ,0 ,13510 ,14120 ,23543 ,0 ,
私立學院,1183,黎明技術學院,新北市,808 ,751 ,0 ,0 ,50525 ,11192 ,13512 ,0 ,
私立學院,1185,經國管理暨健康學院,基隆市,774 ,774 ,0 ,0 ,8712 ,12000 ,95178 ,5785 ,
私立學院,1188,大同技術學院,嘉義縣,433 ,0 ,0 ,0 ,4787 ,47401 ,45991 ,0 ,
私立學院,1188,大同技術學院,嘉義市,396 ,396 ,16 ,0 ,7432 ,1980 ,14897 ,0 ,
私立學院,1195,馬偕醫學院,新北市,688 ,688 ,9 ,3 ,14425 ,11726 ,166095 ,0 ,
私立學院,1196,法鼓文理學院,新北市,540 ,540 ,150 ,9 ,55434 ,21956 ,143456 ,79288 ,
私立學院,1196,法鼓文理學院,臺北市,0 ,0 ,0 ,0 ,535 ,0 ,0 ,0 ,
私立專科,1282,馬偕醫護管理專科學校,新北市,1894 ,1540 ,2 ,5 ,5200 ,4349 ,73776 ,37084 ,
私立專科,1282,馬偕醫護管理專科學校,臺北市,320 ,320 ,0 ,0 ,2515 ,814 ,8530 ,3 ,
私立專科,1283,仁德醫護管理專科學校,苗栗縣,2360,2360,0,0,18603,6146,36037,0,
私立專科,1284,樹人醫護管理專科學校,高雄市,1370,1370,0,0,17703,22834,108047,0,
私立專科,1285,慈惠醫護管理專科學校,屏東縣,976,437,6,0,11670,35881,148324,0,
私立專科,1286,耕莘健康管理專科學校,新北市,904,904,9,0,4908,3211,11756,0,
私立專科,1286,耕莘健康管理專科學校,宜蘭縣,1712,1712,19,0,12778,17645,64195,0,
私立專科,1286,耕莘健康管理專科學校,基隆市,0,0,0,0,0,0,53630,0,
私立專科,1287,敏惠醫護管理專科學校,臺南市,1088,1088,8,0,29661,3327,77359,12589,
私立專科,1289,育英醫護管理專科學校,高雄市,240,236,0,0,4523,6359,63609,0,
私立專科,1291,聖母醫護管理專科學校,宜蘭縣,1064,1064,24,0,9313,3241,29179,0,
私立專科,1292,新生醫護管理專科學校,桃園市,1288,1288,0,0,16969,7780,84629,0,
私立專科,1293,崇仁醫護管理專科學校,嘉義縣,720,720,0,0,5868,5720,86412,0,
私立專科,1293,崇仁醫護管理專科學校,嘉義市,297,297,0,0,3022,4712,15481,0,
市立大學,3002,臺北市立大學,臺北市,1786 ,1690 ,7 ,2 ,34182 ,1223472 ,61678 ,0 ,
宗教研修,1R02,基督教台灣浸會神學院,臺北市,64,64,0,8,13442,0,10658,0,
宗教研修,1R03,臺北基督學院,新北市,222,222,14,11,7054,3925,26524,0,
宗教研修,1R04,一貫道天皇學院,高雄市,0,0,0,0,10525,0,17185,14201,
宗教研修,1R05,台灣神學研究學院,臺北市,213,213,9,44,5460,608,59123,0,
宗教研修,1R06,一貫道崇德學院,南投縣,0,0,0,0,4100,0,15000,1441,
宗教研修,1R07,台灣基督長老教會南神神學院,臺南市,90,0,10,11,28149,0,0,0,
宗教研修,1R08,中華福音神學研究學院,桃園市,220,220,0,45,4830,1646,16261,404,
宗教研修,1R09,唯心聖教學院,南投縣,0,0,0,0,2310,869,25563,0,

